Stores,Alarms,AlarmItems,TempMean,Humidity,Pressure,TempMin,TempMax
238,145,6195,16.160416,64.187500,1018.150000,8.4000,25.2000
238,221,6195,17.705208,56.635416,1018.979166,11.6000,27.5000
238,174,6195,17.266666,55.458333,1018.123611,9.0000,25.5000
238,254,6195,19.045833,54.395833,1014.205555,11.0000,28.0000
238,229,6195,17.149473,72.694736,1013.591549,13.2000,24.4000
238,205,6195,14.584375,80.458333,1018.334722,11.1000,20.1000
238,171,6195,14.490625,66.229166,1023.887500,10.7000,19.8000
238,100,6195,15.042708,59.343750,1027.920833,9.3000,23.3000
238,111,6195,15.023958,54.593750,1025.306944,7.7000,22.2000
238,187,6195,16.046875,60.343750,1019.087500,10.6000,24.1000
238,138,6195,17.714736,57.400000,1024.436619,9.3000,26.2000
238,204,6195,17.560416,56.937500,1027.965277,11.2000,24.8000
238,135,6195,17.288541,47.427083,1026.148611,10.5000,24.5000
238,175,6195,17.209375,71.822916,1025.415277,12.8000,25.5000
238,147,6195,16.869791,80.093750,1025.062500,13.2000,22.9000
238,179,6195,17.737500,72.677083,1023.702777,13.6000,26.0000
238,319,6195,20.819791,61.822916,1020.369444,14.6000,29.1000
238,302,6195,21.511458,55.843750,1018.809722,15.9000,29.3000
238,215,6195,19.790425,51.755319,1019.880000,15.3000,26.1000
238,250,6195,19.516666,59.531250,1017.402777,13.2000,28.4000
238,293,6195,20.752631,60.178947,1015.146478,12.9000,28.8000
238,309,6195,21.868421,66.431578,1014.949295,14.9000,29.0000
239,331,6212,20.084210,69.694736,1009.671830,15.9000,25.6000
239,128,6212,18.366666,49.989583,1014.120833,11.5000,24.9000
239,158,6212,16.769791,56.229166,1020.063888,11.5000,21.2000
239,166,6212,18.194680,53.861702,1018.995714,11.4000,23.8000
239,201,6212,20.002083,56.739583,1015.648611,12.6000,27.2000
239,218,6212,20.244791,58.427083,1015.120833,13.2000,27.4000
239,143,6212,19.538541,72.083333,1010.545833,14.3000,27.2000
239,175,6212,16.413684,66.589473,1007.987323,14.3000,19.6000
239,170,6212,16.532291,73.385416,1007.355555,13.5000,21.1000
239,164,6212,16.953125,69.885416,1009.250000,12.7000,22.3000
